"Long-term changes in bird populations by species group from 1970 to 2022, Canada",,,
Ross's goose,Increasing,Yes,Waterfowl
Ross's goose,Increasing,Yes,Arctic birds
Ross's gull,Stable,Yes,Marine birds
Ross's gull,Stable,Yes,Arctic birds
Rough-legged hawk,Stable,No,Arctic birds
Rough-legged hawk,Stable,No,Birds of prey
Ruby-crowned Kinglet,Stable,Yes,Forest birds
Ruby-throated hummingbird,Increasing,Yes,Long-distance migrants
Ruby-throated hummingbird,Increasing,Yes,Forest birds
Ruddy duck,Increasing,Yes,Wetland birds
Ruddy duck,Increasing,Yes,Waterfowl
Ruddy turnstone,Decreasing,Yes,Arctic birds
Ruddy turnstone,Decreasing,Yes,Shorebirds
Ruffed Grouse,Stable,No,Forest birds
Rufous hummingbird,Decreasing,Yes,Long-distance migrants
Sabine's gull,Data deficient,Yes,Marine birds
Sabine's gull,Data deficient,Yes,Arctic birds
Sabine's gull,Data deficient,Yes,Long-distance migrants
Sanderling,Decreasing,Yes,Shorebirds
Sanderling,Decreasing,Yes,Arctic birds
Sanderling,Decreasing,Yes,Long-distance migrants
Sandhill crane,Increasing,Yes,Wetland birds
Savannah Sparrow,Decreasing,Yes,Grassland birds
Say's phoebe,Increasing,Yes,Aerial insectivores
Scarlet tanager,Decreasing,Yes,Long-distance migrants
Scarlet tanager,Decreasing,Yes,Forest birds
Sedge wren,Stable,Yes,Wetland birds
Semipalmated plover,Decreasing,Yes,Shorebirds
Semipalmated plover,Decreasing,Yes,Arctic birds
Semipalmated sandpiper,Decreasing,Yes,Long-distance migrants
Semipalmated sandpiper,Decreasing,Yes,Arctic birds
Semipalmated sandpiper,Decreasing,Yes,Shorebirds
Sharp-shinned hawk,Increasing,No,Birds of prey
Sharp-shinned hawk,Increasing,No,Forest birds
Sharp-tailed grouse,Stable,No,Grassland birds
Sharp-tailed sandpiper,Data deficient,Yes,Arctic birds
Short-billed dowitcher,Decreasing,Yes,Shorebirds
Short-billed gull,Decreasing,No,Marine birds
Short-eared owl,Decreasing,No,Birds of prey
Short-eared owl,Decreasing,No,Grassland birds
Short-tailed albatross,Data deficient,Yes,Marine birds
Short-tailed shearwater,Data deficient,Yes,Marine birds
